排名, 显示卡, 类型, 性能, 架构, 出厂年份, 现在的价格, TDP
'1', 'GeForce RTX 4090', '桌面', '100.00', 'Ada Lovelace', '2022', '1756 USD', '450 W'
'2', 'GeForce RTX 4080', '桌面', '89.44', 'Ada Lovelace', '2022', '1451 USD', '320 W'
'3', 'GeForce RTX 4070 Ti', '桌面', '81.31', 'Ada Lovelace', '2023', '837 USD', '285 W'
'4', 'GeForce RTX 3090 Ti', '桌面', '76.68', 'Ampere', '2022', '1251 USD', '450 W'
'5', 'GeForce RTX 3080 Ti', '桌面', '70.27', 'Ampere', '2020', '1135 USD', '350 W'
'6', 'GeForce RTX 3090', '桌面', '69.16', 'Ampere', '2020', '1198 USD', '350 W'
'7', 'GeForce RTX 4070', '桌面', '68.99', 'Ada Lovelace', '2023', '791 USD', '200 W'
'8', 'GeForce RTX 3080 12 GB', '桌面', '68.75', 'Ampere', '2022', '1053 USD', '350 W'
'9', 'GeForce RTX 3080', '桌面', '65.20', 'Ampere', '2020', '823 USD', '320 W'
'10', 'GeForce RTX 3070 Ti', '桌面', '61.08', 'Ampere', '2021', '757 USD', '290 W'
'11', 'RTX A5000', '用于工作站', '59.37', 'Ampere', '2021', '3327 USD', '230 W'
'12', 'GeForce RTX 3070', '桌面', '57.77', 'Ampere', '2020', '662 USD', '220 W'
'13', 'GeForce RTX 4060 Ti', '桌面', '57.76', 'Ada Lovelace', '2023', '461 USD', '160 W'
'14', 'GeForce RTX 2080 Ti', '桌面', '56.18', 'Turing', '2018', '297 USD', '270 W'
'15', 'RTX A4500', '用于工作站', '55.99', 'Ampere', '2021', '2591 USD', '200 W'
'16', 'GeForce RTX 4090 Mobile', '用于笔记本电脑', '53.65', 'Ada Lovelace', '2023', '−', '150 W'
'17', 'RTX A5500', '桌面', '53.45', 'Ampere', '2022', '3965 USD', '230 W'
'18', 'Quadro GV100', '用于工作站', '52.94', 'Volta', '2018', '5183 USD', '250 W'
'19', 'GeForce RTX 3060 Ti', '桌面', '52.93', 'Ampere', '2020', '361 USD', '220 W'
'20', 'GeForce RTX 4080 Mobile', '用于笔记本电脑', '52.00', 'Ada Lovelace', '2023', '−', '150 W'
'21', 'GeForce RTX 4060 Ti 8G', '桌面', '51.35', 'Ada Lovelace', '2023', '424 USD', '160 W'
'22', 'GeForce RTX 2080 Super', '桌面', '50.37', 'Turing', '2019', '599 USD', '250 W'
'23', 'GeForce RTX 4060', '桌面', '50.07', 'Ada Lovelace', '2023', '340 USD', '115 W'
'24', 'TITAN Xp', '桌面', '49.92', 'Pascal', '2017', '174 USD', '250 W'
'25', 'Quadro RTX 8000', '用于工作站', '49.87', 'Turing', '2018', '3230 USD', '260 W'
'26', 'RTX A4000', '用于工作站', '49.59', 'Ampere', '2021', '1112 USD', '140 W'
'27', 'Quadro RTX 6000', '用于工作站', '49.43', 'Turing', '2018', '3083 USD', '260 W'
'28', 'GeForce RTX 4060 Ti 16G', '桌面', '49.03', 'Ada Lovelace', '−', '−', '−'
'29', 'TITAN RTX', '桌面', '48.47', 'Turing', '2018', '1035 USD', '280 W'
'30', 'GeForce RTX 2080', '桌面', '48.33', 'Turing', '2018', '426 USD', '215 W'
'31', 'A10G', '桌面', '48.12', 'Ampere', '2021', '216 USD', '150 W'
'32', 'GeForce GTX 1080 Ti', '桌面', '47.64', 'Pascal', '2017', '321 USD', '250 W'
'33', 'GeForce RTX 2070 Super', '桌面', '46.94', 'Turing', '2019', '261 USD', '215 W'
'34', 'GeForce RTX 3080 Ti Mobile', '用于笔记本电脑', '46.51', 'Ampere', '2022', '−', '150 W'
'35', 'GeForce RTX 4070 Mobile', '用于笔记本电脑', '46.02', 'Ada Lovelace', '2023', '−', '115 W'
'36', 'TITAN V', '桌面', '44.02', 'Volta', '2017', '228 USD', '250 W'
'37', 'GeForce RTX 3060', '桌面', '44.00', 'Ampere', '2021', '317 USD', '170 W'
'38', 'TITAN V CEO Edition', '桌面', '43.66', 'Volta', '2018', '1630 USD', '250 W'
'39', 'GeForce RTX 2060 Super', '桌面', '42.63', 'Turing', '2019', '374 USD', '175 W'
'40', 'Quadro RTX A6000', '用于工作站', '42.42', 'Ampere', '2020', '8932 USD', '300 W'
'41', 'GeForce RTX 3070 Ti Mobile', '用于笔记本电脑', '42.31', 'Ampere', '2022', '−', '125 W'
'42', 'GeForce RTX 3080 Mobile', '用于笔记本电脑', '42.27', 'Ampere', '2021', '−', '150 W'
'43', 'GeForce RTX 2070', '桌面', '41.56', 'Turing', '2018', '309 USD', '175 W'
'44', 'GeForce RTX 4060 Mobile', '用于笔记本电脑', '41.51', 'Ada Lovelace', '2023', '−', '115 W'
'45', 'Quadro RTX 5000', '用于工作站', '41.35', 'Turing', '2018', '1540 USD', '230 W'
'46', 'GeForce RTX 2060 12 GB', '桌面', '40.77', 'Turing', '2021', '530 USD', '184 W'
'47', 'RTX A5500 Mobile', '用于笔记本电脑', '40.60', 'Ampere', '2022', '−', '165 W'
'48', 'GeForce GTX 1070 SLI （移动）', '用于笔记本电脑', '40.31', 'Pascal', '2016', '274 USD', '−'
'49', 'Quadro GP100', '用于工作站', '40.11', 'Pascal', '2016', '1482 USD', '235 W'
'50', 'RTX A5000 Mobile', '用于笔记本电脑', '40.08', 'Ampere', '2021', '−', '165 W'
'51', 'Quadro P6000', '用于工作站', '39.88', 'Pascal', '2016', '989 USD', '250 W'
'52', 'GeForce GTX 1080', '桌面', '39.79', 'Pascal', '2016', '241 USD', '180 W'
'53', 'Quadro RTX 4000', '用于工作站', '39.67', 'Turing', '2018', '974 USD', '160 W'
'54', 'GeForce RTX 4050 Mobile', '用于笔记本电脑', '38.84', 'Ada Lovelace', '2023', '−', '115 W'
'55', 'GeForce RTX 2080 （移动）', '用于笔记本电脑', '38.83', 'Turing', '2019', '2003 USD', '150 W'
'56', 'GeForce RTX 2080 Super Mobile', '用于笔记本电脑', '38.73', 'Turing', '2020', '1671 USD', '150 W'
'57', 'GeForce GTX 1070 SLI', '桌面', '38.28', 'Pascal', '2016', '185 USD', '300 W'
'58', 'Quadro RTX 5000 （移动）', '用于移动工作站', '38.12', 'Turing', '2019', '3065 USD', '110 W'
'59', 'GeForce GTX 980 SLI （移动）', '用于笔记本电脑', '38.02', 'Maxwell', '2015', '301 USD', '330 W'
'60', 'GeForce GTX 1070 Ti', '桌面', '37.83', 'Pascal', '2017', '231 USD', '180 W'
'61', 'GeForce GTX 1080 SLI （移动）', '用于笔记本电脑', '37.52', 'Pascal', '2016', '352 USD', '−'
'62', 'GeForce RTX 3070 Mobile', '用于笔记本电脑', '36.92', 'Ampere', '2021', '−', '125 W'
'63', 'GeForce RTX 2070 Super Mobile', '用于笔记本电脑', '36.84', 'Turing', '2020', '1443 USD', '115 W'
'64', 'GeForce RTX 2060', '桌面', '36.28', 'Turing', '2019', '397 USD', '175 W'
'65', 'GeForce RTX 2070 Super Max-Q', '用于笔记本电脑', '35.75', 'Turing', '2020', '812 USD', '80 W'
'66', 'GeForce RTX 2080 Max-Q', '用于笔记本电脑', '35.71', 'Turing', '2019', '1268 USD', '80 W'
'67', 'GeForce GTX 1080 （移动）', '用于笔记本电脑', '35.66', 'Pascal', '2016', '230 USD', '150 W'
'68', 'GeForce GTX 980 Ti', '桌面', '35.56', 'Maxwell', '2015', '1195 USD', '250 W'
'69', 'GeForce RTX 2080 Super Max-Q', '用于笔记本电脑', '35.55', 'Turing', '2020', '812 USD', '90 W'
'70', 'RTX A2000', '桌面', '35.51', 'Ampere', '2021', '567 USD', '70 W'
'71', 'Quadro RTX 5000 Max-Q', '用于移动工作站', '34.93', 'Turing', '2019', '2130 USD', '80 W'
'72', 'RTX A2000 12 GB', '桌面', '34.93', 'Ampere', '2021', '967 USD', '70 W'
'73', 'GeForce GTX 1070', '桌面', '34.73', 'Pascal', '2016', '180 USD', '150 W'
'74', 'RTX A3000 Mobile', '用于笔记本电脑', '33.88', 'Ampere', '2021', '−', '130 W'
'75', 'GeForce GTX TITAN X', '桌面', '33.55', 'Maxwell 2.0', '2015', '290 USD', '250 W'
'76', 'Titan X Pascal', '桌面', '33.48', 'Pascal', '2016', '312 USD', '250 W'
'77', 'GeForce GTX 1660 Ti', '桌面', '33.31', 'Turing', '2019', '284 USD', '120 W'
'78', 'GeForce GTX 1660 Super', '桌面', '32.86', 'Turing', '2019', '277 USD', '125 W'
'79', 'Tesla P40', '用于工作站', '32.60', 'Pascal', '2016', '131 USD', '250 W'
'80', 'Tesla T10', '用于工作站', '32.51', 'Turing', '−', '−', '260 W'
'81', 'Quadro P5200', '用于移动工作站', '32.46', 'Pascal', '2017', '3894 USD', '150 W'
'82', 'GeForce RTX 3050 8 GB', '桌面', '32.42', 'Ampere', '2022', '385 USD', '130 W'
'83', 'Quadro P5200 Max-Q', '用于工作站', '32.41', 'Pascal', '2018', '−', '100 W'
'84', 'GeForce RTX 3060 Mobile', '用于笔记本电脑', '32.26', 'Ampere', '2021', '−', '115 W'
'85', 'Quadro RTX 4000 （移动）', '用于移动工作站', '32.23', 'Turing', '2019', '2890 USD', '110 W'
'86', 'Quadro RTX 4000 Max-Q', '用于移动工作站', '32.21', 'Turing', '2019', '−', '80 W'
'87', 'GeForce RTX 2070 （移动）', '用于笔记本电脑', '31.75', 'Turing', '2019', '1758 USD', '115 W'
'88', 'Quadro P5000', '用于工作站', '31.40', 'Pascal', '2016', '1270 USD', '180 W'
'89', 'GeForce RTX 3050 OEM', '桌面', '30.93', 'Ampere', '2022', '−', '130 W'
'90', 'GeForce RTX 2070 Max-Q', '用于笔记本电脑', '30.55', 'Turing', '2019', '1311 USD', '80 W'
'91', 'Quadro M6000', '用于工作站', '30.32', 'Maxwell 2.0', '2015', '1792 USD', '250 W'
'92', 'Quadro M6000 24 GB', '用于工作站', '30.29', 'Maxwell 2.0', '2016', '2104 USD', '250 W'
'93', 'GeForce GTX 1660', '桌面', '30.14', 'Turing', '2019', '252 USD', '120 W'
'94', 'Quadro P4000', '用于工作站', '29.91', 'Pascal', '2017', '485 USD', '105 W'
'95', 'Quadro P5000 （移动）', '用于移动工作站', '29.71', 'Pascal', '2017', '2137 USD', '100 W'
'96', 'GeForce RTX 2060 （移动）', '用于笔记本电脑', '29.18', 'Turing', '2019', '1250 USD', '80 W'
'97', 'GeForce GTX 980', '桌面', '28.61', 'Maxwell', '2014', '339 USD', '220 W'
'98', 'CMP 40HX', '桌面', '28.46', 'Turing', '2021', '152 USD', '185 W'
'99', 'Quadro P4200 Max-Q', '用于工作站', '28.32', 'Pascal', '2018', '−', '100 W'
'100', 'GeForce GTX 1070 （移动）', '用于笔记本电脑', '28.27', 'Pascal', '2016', '379 USD', '115 W'
'101', 'Tesla T4', '用于工作站', '27.57', 'Turing', '2018', '782 USD', '70 W'
'102', 'Tesla M40 24 GB', '用于工作站', '26.92', 'Maxwell 2.0', '2015', '250 USD', '250 W'
'103', 'GeForce GTX 1060 6 GB', '桌面', '26.35', 'Pascal', '2016', '911 USD', '120 W'
'104', 'GeForce GTX 1660 Ti （移动）', '用于笔记本电脑', '26.25', 'Turing', '2019', '682 USD', '80 W'
'105', 'GeForce GTX 1080 Max-Q', '用于笔记本电脑', '26.23', 'Pascal', '2017', '1008 USD', '90 W'
'106', 'Tesla M40', '用于工作站', '26.17', 'Maxwell 2.0', '2015', '101 USD', '250 W'
'107', 'Quadro RTX 3000 （移动）', '用于移动工作站', '26.00', 'Turing', '2019', '2393 USD', '80 W'
'108', 'GeForce GTX 1650 SUPER', '桌面', '26.00', 'Turing', '2019', '206 USD', '125 W'
'109', 'GeForce RTX 2060 Max-Q', '用于笔记本电脑', '25.17', 'Turing', '2019', '1680 USD', '65 W'
'110', 'RTX A2000 Mobile', '用于笔记本电脑', '25.10', 'Ampere', '2021', '−', '95 W'
'111', 'Quadro P4200', '用于移动工作站', '24.93', 'Pascal', '2018', '1526 USD', '115 W'
'112', 'GeForce RTX 3050 Ti Mobile', '用于笔记本电脑', '24.81', 'Ampere', '2021', '−', '60 W'
'113', 'GeForce GTX 970', '桌面', '24.78', 'Maxwell', '2014', '105 USD', '150 W'
'114', 'GeForce GTX 980M SLI', '用于笔记本电脑', '24.72', 'Maxwell', '2014', '499 USD', '200 W'
'115', 'GeForce GTX 1060 3 GB', '桌面', '24.64', 'Pascal', '2016', '1112 USD', '120 W'
'116', 'GeForce RTX 3050 4GB Mobile', '用于笔记本电脑', '24.42', 'Ampere', '2021', '−', '60 W'
'117', 'GeForce GTX 780 Ti', '桌面', '24.36', 'Kepler', '2013', '461 USD', '250 W'
'118', 'Quadro M5000', '用于工作站', '24.12', 'Maxwell 2.0', '2015', '823 USD', '150 W'
'119', 'Quadro P2200', '用于工作站', '24.09', 'Pascal', '2019', '409 USD', '75 W'
'120', 'GeForce GTX 970M SLI', '用于笔记本电脑', '23.98', 'Maxwell', '2014', '1326 USD', '162 W'
'121', 'Quadro P3200 Max-Q', '用于移动工作站', '23.76', 'Pascal', '2018', '−', '75 W'
'122', 'GeForce RTX 3050 Mobile', '用于笔记本电脑', '23.45', 'Ampere', '2022', '−', '130 W'
'123', 'Tesla P4', '用于工作站', '23.30', 'Pascal', '2016', '92 USD', '75 W'
'124', 'GeForce RTX 3050 6GB Mobile', '用于笔记本电脑', '23.28', 'Ampere', '2023', '−', '60 W'
'125', 'GeForce GTX TITAN BLACK', '桌面', '23.16', 'Kepler', '2014', '799 USD', '250 W'
'126', 'Quadro P3200', '用于移动工作站', '23.15', 'Pascal', '2017', '2122 USD', '78 W'
'127', 'GeForce GTX TITAN Z', '桌面', '23.10', 'Kepler', '2014', '830 USD', '375 W'
'128', 'GeForce GTX 1060 5 GB', '桌面', '23.06', 'Pascal', '2017', '203 USD', '120 W'
'129', 'Quadro P4000 Max-Q', '用于移动工作站', '22.66', 'Pascal', '2017', '803 USD', '80 W'
'130', 'GeForce GTX 1660 Ti Max-Q', '用于笔记本电脑', '22.65', 'Turing', '2019', '1037 USD', '60 W'
'131', 'GeForce GTX 980 （移动）', '用于笔记本电脑', '22.26', 'Maxwell', '2014', '251 USD', '100 W'
'132', 'Quadro RTX 3000 Max-Q', '用于移动工作站', '21.86', 'Turing', '2019', '−', '60 W'
'133', 'GeForce GTX 880M SLI', '用于笔记本电脑', '21.64', 'Kepler', '2014', '3098 USD', '206 W'
'134', 'Quadro P4000 （移动）', '用于移动工作站', '21.54', 'Pascal', '2017', '1053 USD', '73.4 W'
'135', 'RTX A1000 Mobile', '用于笔记本电脑', '21.49', 'Ampere', '2022', '−', '95 W'
'136', 'GeForce GTX TITAN', '桌面', '21.06', 'Kepler', '2013', '640 USD', '250 W'
'137', 'GeForce GTX 1060 （移动）', '用于笔记本电脑', '20.97', 'Pascal', '2016', '240 USD', '80 W'
'138', 'Quadro K6000', '用于工作站', '20.70', 'Kepler', '2013', '429 USD', '225 W'
'139', 'GeForce GTX 780', '桌面', '20.63', 'Kepler', '2013', '100 USD', '250 W'
'140', 'Quadro T2000 （移动）', '用于移动工作站', '20.52', 'Turing', '2019', '2221 USD', '60 W'
'141', 'Quadro M5500', '用于移动工作站', '20.34', 'Maxwell', '2016', '1700 USD', '150 W'
'142', 'GeForce GTX 1650', '桌面', '20.20', 'Turing', '2019', '185 USD', '75 W'
'143', 'GeForce GTX 1650 Ti Mobile', '用于笔记本电脑', '20.04', 'Turing', '2020', '892 USD', '50 W'
'144', 'Tesla M60', '用于工作站', '19.97', 'Maxwell 2.0', '2015', '81 USD', '300 W'
'145', 'Quadro T1200 Mobile', '用于移动工作站', '19.90', 'Turing', '2021', '−', '95 W'
'146', 'T1200 Mobile', '用于笔记本电脑', '19.90', 'Turing', '2021', '−', '95 W'
'147', 'T1000', '桌面', '19.73', 'Turing', '2021', '119 USD', '50 W'
'148', 'GeForce GTX 780M SLI', '用于笔记本电脑', '19.70', 'Kepler', '2013', '149 USD', '200 W'
'149', 'T1000 8 GB', '桌面', '19.50', 'Turing', '2021', '690 USD', '50 W'
'150', 'Tesla M6', '用于工作站', '19.30', 'Maxwell 2.0', '2015', '350 USD', '100 W'
'151', 'Quadro P3000 （移动）', '用于移动工作站', '19.08', 'Pascal', '2017', '537 USD', '75 W'
'152', 'GeForce GTX 980M', '用于笔记本电脑', '18.90', 'Maxwell', '2014', '583 USD', '100 W'
'153', 'Quadro P2000', '用于工作站', '18.68', 'Pascal', '2017', '371 USD', '75 W'
'154', 'GeForce RTX 2050 Mobile', '用于笔记本电脑', '18.33', 'Ampere', '2021', '−', '30 W'
'155', 'GeForce GTX 1650 （移动）', '用于笔记本电脑', '18.29', 'Turing', '2019', '301 USD', '50 W'
'156', 'Quadro M5000M', '用于移动工作站', '18.13', 'Maxwell', '2015', '468 USD', '100 W'
'157', 'GeForce GTX 1070 Max-Q', '用于笔记本电脑', '17.86', 'Pascal', '2017', '1244 USD', '115 W'
'158', 'Quadro T2000 Max-Q', '用于移动工作站', '17.81', 'Turing', '2019', '−', '35 W'
'159', 'GeForce GTX 965M SLI', '用于笔记本电脑', '17.18', 'Maxwell', '2015', '149 USD', '−'
'160', 'Quadro T1000 Max-Q', '用于移动工作站', '17.16', 'Turing', '2019', '−', '35 W'
'161', 'Quadro M4000', '用于工作站', '17.13', 'Maxwell 2.0', '2015', '314 USD', '120 W'
'162', 'Quadro T1000', '用于工作站', '16.95', 'Turing', '2019', '920 USD', '50 W'
'163', 'Quadro T1000 （移动）', '用于移动工作站', '16.81', 'Turing', '2019', '1890 USD', '50 W'
'164', 'T600', '桌面', '16.62', 'Turing', '2021', '143 USD', '40 W'
'165', 'GeForce GTX 680M SLI', '用于笔记本电脑', '16.51', 'Kepler', '2012', '149 USD', '−'
'166', 'GeForce GTX 1650 Ti Max-Q', '用于笔记本电脑', '16.46', 'Turing', '2020', '1183 USD', '35 W'
'167', 'Quadro T600 Mobile', '用于移动工作站', '16.28', 'Turing', '2021', '−', '40 W'
'168', 'GeForce GTX 1050 Ti', '桌面', '16.20', 'Pascal', '2016', '207 USD', '70 W'
'169', 'Quadro M4000M', '用于移动工作站', '16.00', 'Maxwell', '2015', '832 USD', '100 W'
'170', 'Tesla K80', '用于工作站', '15.96', 'Kepler 2.0', '2014', '83 USD', '300 W'
'171', 'P106-100', '桌面', '15.95', 'Pascal', '2017', '15 USD', '120 W'
'172', 'GeForce GTX 1650 Max-Q', '用于笔记本电脑', '15.69', 'Turing', '2019', '1185 USD', '35 W'
'173', 'GeForce MX570 A', '桌面', '15.60', 'Ampere', '2022', '1574 USD', '25 W'
'174', 'GeForce GTX 960', '桌面', '15.53', 'Maxwell', '2015', '440 USD', '100 W'
'175', 'Quadro K5200', '用于工作站', '15.49', 'Kepler', '2014', '451 USD', '150 W'
'176', 'GeForce MX570', '用于笔记本电脑', '15.47', 'Ampere', '2021', '−', '15 W'
'177', 'Quadro P2000 （移动）', '用于移动工作站', '15.31', 'Pascal', '2017', '1477 USD', '50 W'
'178', 'GeForce GTX 1050 Ti （移动）', '用于笔记本电脑', '15.21', 'Pascal', '2017', '545 USD', '75 W'
'179', 'GeForce GTX 770', '桌面', '15.16', 'Kepler', '2013', '254 USD', '230 W'
'180', 'GeForce GTX 1060 Max-Q 6 GB', '用于笔记本电脑', '15.14', 'Pascal', '2017', '1010 USD', '60 W'
'181', 'GeForce GTX 970M', '用于笔记本电脑', '14.69', 'Maxwell', '2014', '848 USD', '81 W'
'182', 'GeForce GTX 690', '桌面', '14.34', 'Kepler', '2012', '411 USD', '300 W'
'183', 'GeForce GTX 680', '桌面', '14.23', 'Kepler', '2012', '156 USD', '195 W'
'184', 'Quadro M3000M', '用于移动工作站', '14.14', 'Maxwell', '2015', '981 USD', '75 W'
'185', 'GeForce GTX 760 Ti OEM', '桌面', '13.95', 'Kepler', '2013', '229 USD', '170 W'
'186', 'GeForce GTX 1050 Ti Max-Q', '用于笔记本电脑', '13.80', 'Pascal', '2018', '1140 USD', '40 W'
'187', 'GeForce GTX 950', '桌面', '13.74', 'Maxwell', '2015', '13 USD', '90 W'
'188', 'GeForce GTX 770M SLI', '用于笔记本电脑', '13.73', 'Kepler', '2013', '149 USD', '150 W'
'189', 'GeForce GTX 670', '桌面', '13.65', 'Kepler', '2012', '22 USD', '170 W'
'190', 'GRID M60-2Q', '用于工作站', '13.37', 'Maxwell 2.0', '2015', '−', '225 W'
'191', 'GeForce GTX 1050 3 GB', '桌面', '13.20', 'Pascal', '2018', '1118 USD', '75 W'
'192', 'Quadro P2000 Max-Q', '用于移动工作站', '13.19', 'Pascal', '2017', '426 USD', '−'
'193', 'GeForce GTX 1050', '桌面', '12.97', 'Pascal', '2016', '211 USD', '60 W'
'194', 'GeForce GTX 1630', '桌面', '12.83', 'Turing', '2022', '213 USD', '75 W'
'195', 'GeForce GTX 1050 3GB Mobile', '用于笔记本电脑', '12.55', '2018', '−', '−', '_'
'196', 'GeForce GTX 760', '桌面', '12.28', 'Kepler', '2013', '136 USD', '170 W'
'197', 'GeForce GTX 860M SLI', '用于笔记本电脑', '11.86', 'Maxwell', '2014', '489 USD', '120 W'
'198', 'GeForce MX550', '用于笔记本电脑', '11.68', 'Turing', '2021', '−', '15 W'
'199', 'GeForce GTX 580', '桌面', '11.66', 'Fermi', '2010', '15 USD', '244 W'
'200', 'Tesla K40c', '用于工作站', '11.55', 'Kepler', '2013', '360 USD', '245 W'
'201', 'GeForce GTX 1050 （移动）', '用于笔记本电脑', '11.47', 'Pascal', '2017', '256 USD', '75 W'
'202', 'Quadro P1000', '用于工作站', '11.36', 'Pascal', '2017', '301 USD', '40 W'
'203', 'GeForce GTX 660 Ti', '桌面', '11.24', 'Kepler', '2012', '189 USD', '150 W'
'204', 'Tesla K20m', '用于工作站', '11.13', 'Kepler', '2013', '5781 USD', '225 W'
'205', 'Quadro K4200', '用于工作站', '11.09', 'Kepler', '2014', '311 USD', '108 W'
'206', 'Quadro M2200', '用于移动工作站', '11.04', 'Maxwell', '2017', '1967 USD', '55 W'
'207', 'GRID M60-1Q', '用于工作站', '10.92', 'Maxwell 2.0', '2015', '−', '225 W'
'208', 'GeForce GTX 680MX', '用于笔记本电脑', '10.65', 'Kepler', '2012', '200 USD', '122 W'
'209', 'GeForce GTX 480', '桌面', '10.38', 'Fermi', '2010', '16 USD', '295 W'
'210', 'GeForce GTX 765M SLI', '用于笔记本电脑', '10.32', 'Kepler', '2013', '149 USD', '130 W'
'211', 'GeForce GTX 660', '桌面', '10.28', 'Kepler', '2012', '172 USD', '140 W'
'212', 'P104-100', '桌面', '10.27', 'Pascal', '2017', '17 USD', '−'
'213', 'GeForce GTX 780 Rev. 2', '桌面', '10.23', 'Kepler', '2013', '270 USD', '250 W'
'214', 'T550 Mobile', '用于笔记本电脑', '10.22', 'Turing', '2022', '−', '25 W'
'215', 'Quadro K5000', '用于工作站', '10.21', 'Kepler', '2012', '289 USD', '122 W'
'216', 'Quadro M2000', '用于工作站', '10.18', 'Maxwell 2.0', '2016', '285 USD', '75 W'
'217', 'GeForce GTX 1050 Max-Q', '用于笔记本电脑', '10.12', 'Pascal', '2018', '1085 USD', '34 W'
'218', 'GeForce GTX 570', '桌面', '10.07', 'Fermi', '2010', '13 USD', '219 W'
'219', 'GeForce GTX 780M', '用于笔记本电脑', '10.03', 'Kepler', '2013', '1093 USD', '100 W'
'220', 'GeForce GTX 750 Ti', '桌面', '10.03', 'Maxwell', '2014', '357 USD', '75 W'
'221', 'GRID M60-8Q', '用于工作站', '9.98', 'Maxwell 2.0', '2015', '−', '225 W'
'222', 'GeForce GTX 580M SLI', '用于笔记本电脑', '9.94', 'Fermi', '2011', '249 USD', '100 W'
'223', 'GeForce GTX 880M', '用于笔记本电脑', '9.74', 'Kepler', '2014', '1544 USD', '103 W'
'224', 'GeForce GTX 670MX SLI', '用于笔记本电脑', '9.64', 'Kepler', '2012', '−', '150 W'
'225', 'GeForce MX450', '用于笔记本电脑', '9.59', 'Turing', '2020', '−', '25 W'
'226', 'GeForce GTX 965M', '用于笔记本电脑', '9.59', 'Maxwell', '2015', '1546 USD', '50 W'
'227', 'T400 4 GB', '桌面', '9.49', 'Turing', '2021', '216 USD', '30 W'
'228', 'Tesla M2090', '用于工作站', '9.40', 'Fermi 2.0', '2011', '1844 USD', '250 W'
'229', 'Tesla K8', '用于工作站', '9.37', 'Kepler', '2014', '249 USD', '100 W'
'230', 'T400', '桌面', '9.30', 'Turing', '2021', '83 USD', '30 W'
